X,PsiAbs
-5.0,0.2168995639351585
-4.9,0.23038022846097692
-4.8,0.24060293793015733
-4.7,0.2471746846864862
-4.6,0.2497402766662632
-4.5,0.24799463739526328
-4.4,0.24169416242757455
-4.3,0.2306664956750531
-4.2,0.21481832043381432
-4.1,0.19414109299803328
-4.0,0.1687150342785988
-3.9,0.1387120717717348
-3.8,0.10439871814958866
-3.7,0.06614001472764033
-3.6,0.024405600842959646
-3.5,0.020221347285413055
-3.4,0.06703215444086318
-3.3,0.11517836712183058
-3.2,0.16365695287679977
-3.1,0.21129799081894093
-3.0,0.2567590125780586
-2.9,0.2985309154541991
-2.8,0.33496033309160417
-2.7,0.3642920908547055
-2.6,0.3847326533638795
-2.5,0.39453149231952317
-2.4,0.3920729228846392
-2.3,0.3759676875456269
-2.2,0.3451332022219757
-2.1,0.29885530502295266
-2.0,0.23683280827656336
-1.9,0.15921789143777165
-1.8,0.06667781898969936
-1.7,0.039486786186989024
-1.6,0.1571289826679234
-1.5,0.2829191994286426
-1.4,0.41188626287913116
-1.3,0.536892974582371
-1.2,0.6481843857422779
-1.1,0.7332196260130119
-1.0,0.7769822524989541
-0.9,0.7627544192982474
-0.8,0.6729129559203505
-0.7,0.4888658813924562
-0.6,0.18926225448816314
-0.5,0.2532680535348629
-0.4,0.8730778166641607
-0.3,1.6971335533494223
-0.2,2.6847979077837696
-0.1,3.60295226338984
0.0,3.9999999999998046
0.1,3.6029522633944935
0.2,2.6847979077821336
0.3,1.6971335533500456
0.4,0.8730778166638602
0.5,0.25326805353508225
0.6,0.18926225448777356
0.7,0.48886588139194126
0.8,0.6729129559200601
0.9,0.762754419298209
1.0,0.7769822524990377
1.1,0.7332196260131068
1.2,0.648184385742098
1.3,0.536892974582272
1.4,0.4118862628790852
1.5,0.282919199428626
1.6,0.15712898266794162
1.7,0.03948678618704436
1.8,0.06667781898969492
1.9,0.15921789143782347
2.0,0.23683280827655806
2.1,0.29885530502295266
2.2,0.3451332022219757
2.3,0.3759676875456269
2.4,0.3920729228846392
2.5,0.39453149231952317
2.6,0.3847326533638795
2.7,0.3642920908547055
2.8,0.33496033309160417
2.9,0.2985309154541991
3.0,0.2567590125780586
3.1,0.21129799081894093
3.2,0.16365695287679977
3.3,0.11517836712183058
3.4,0.06703215444086318
3.5,0.020221347285413055
3.6,0.024405600842959646
3.7,0.06614001472764033
3.8,0.10439871814958866
3.9,0.1387120717717348
4.0,0.1687150342785988
4.1,0.19414109299803328
4.2,0.21481832043381432
4.3,0.2306664956750531
4.4,0.24169416242757455
4.5,0.24799463739526328
4.6,0.2497402766662632
4.7,0.2471746846864862
4.8,0.24060293793015733
4.9,0.23038022846097692
5.0,0.2168995639351585
